prompt,Source,JP Answer,Notes,"Bot current capability expectations; assuming we have Bot Guide correct, the Bot...",How good of a test for the Bot is this question?,Applies to:,alejo_notes,rating
"Travel policies for work trips — hey, all!
we are reviewing our current travel policy and we're curious to see how you all work out your per diem rates for accommodation and food.
for context, at present our policy is:
for trips within the US: the US General Services Administration per diems rates
for trips outside of the US: 70% of the US Department of State's per diem rates
However, our current policy produces the occasional odd result (e.g. $121 per day for food in Paris and $92 in New York, when the latter is more expensive than the former).
question for all: how do you guys set your per diem rates for work trips?",EA Ops Slack,,,Should be able to answer with current resources,5 - Bot should easily answer,Anyone,,0
"Hi all, does anyone here have experience in getting a UK Cyber Essentials (CE) Certificate, or setting up some sort of mobile device management (MDM) system on personal devices (including MacBooks)? Arcadia Impact is looking to get the CE cert, but we can’t figure out how to set up an MDM on personal MacBooks (or if it’s even possible), and an MDM on devices used for work seems necessary to comply with CE. (Our staff currently use their own devices for work.) Any advice/help on this would be great!",EA Ops Slack,,"If it can't get the answer, it should refer to or suggest finding a professional like Wavefront Security. 

This would be a good test to see if it tried the high-level basics, and if it didn't succeed then stop trying and say get help. I have seen llms just keep trying to help and be more likely to make things up when it can't actually help.",Should be able to answer without resources,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
How do I set up a new organization?,EA Ops Slack,,,Should be able to answer with current resources,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
In which country should I establish my organization?,Made up for testing,,"If it asks the right questions and the Guide is right, this should be easily answerable",Should be able to answer without resources,5 - Bot should easily answer,Anyone,,0
Can I be a non-profit if I receive money from my clients? Should I be a for-profit? How much does it matter?,Made up for testing,,"A good LLM should be able to answer this on its own, but for some reason they do poorly.

With a good Guide this is answerable.",Should be able to answer without resources,5 - Bot should easily answer,Anyone,,0
Give me initial suggestions of fiscal sponsors for my project,Made up for testing,,It would need to do a lot of probing to and not make assumptions to do this well. But the question is answerable.,Should be able to answer with current resources,3 - Would be difficult but manageable for the Bot,Anyone,,0
Which documents do I need to get ready to create and register a nonprofit,Made up for testing,,"If it asks the right questions and the Guide is right, this should be easily answerable",Should be able to answer without resources,5 - Bot should easily answer,Anyone,,0
Do I need to be a registered entity before receiving funds from Open Philanthropy?,Made up for testing,,"A good LLM should be able to answer this on its own, but for some reason they do poorly.

With a good Guide this is answerable.",Should be able to answer without resources,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
I need an expense policy,Made up for testing,,"If it asks the right questions and the Guide is right, this should be easily answerable",Should be able to answer with current resources,5 - Bot should easily answer,Anyone,,0
Give me a budget template for our first year of operations,Made up for testing,,"This one might be tough without the right resources to draw from. But, if we build the resources, this is answerable. ",Would need resources to answer well,3 - Would be difficult but manageable for the Bot,Anyone,,0
How much weekly time on average does it require handling the overhead of being a registered nonprofit? (assuming I'm fiscally sponsored). What does that depend on?,Made up for testing,,"This one might be tough without the right resources to draw from. But, if we build the resources, this is answerable. ",Would need resources to answer well,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
What things do I need to get ready before hiring more people?,Made up for testing,,"If it asks the right questions and the Guide is right, this should be easily answerable",Should be able to answer without resources,"4 - Bot should be able to handle with few errors, mistakes",Anyone,,0
Is there are SparkWell template for last receipts?,SW Meeting,,,Should be able to answer with current resources,5 - Bot should easily answer,SW Only,,0
"Can I just pay him (nonemployee or contractor) from my personal account and then request reimbursement the next time I invoice, even though there won't be any official receipt as he is an individual?",Email to JP,,"Might need to make sure the bot has access to the information, resource.",Should be able to answer with current resources,"4 - Bot should be able to handle with few errors, mistakes",SW Only,,0
What services does Anti Entropy provide?,Email to JP,,,Should be able to answer with current resources,5 - Bot should easily answer,SW Only,,0
How does fiscal sponsorship work?,Email to JP,,"A good LLM should be able to answer this on its own, but for some reason they do poorly.

With a good Guide this is answerable.",Should be able to answer with current resources,5 - Bot should easily answer,Anyone,,0
What can/can't projects do with nonprofit discounts and memberships?,SW Meeting,,"Might need to make sure the bot has access to the information, resource.",Should be able to answer with current resources,5 - Bot should easily answer,SW Only,,0
"What approval processes are required for different decisions?
What authority does Project have, and when and wehre do they need approval from SparkWell?",SW Meeting,,"Might need to make sure the bot has access to the information, resource.",Should be able to answer with current resources,5 - Bot should easily answer,SW Only,,0
How are responsibilities divided between Anti Entropy and sponsored projects?,SW Meeting,,"Might need to make sure the bot has access to the information, resource.",Should be able to answer with current resources,5 - Bot should easily answer,SW Only,,0
What tools and resources are available through the resource portal?,SW Meeting,,,Should be able to answer with current resources,5 - Bot should easily answer,Anyone,,0
